% Glass Activity Database

@RELATION activity 

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE rms NUMERIC
@ATTRIBUTE xmean NUMERIC
@ATTRIBUTE xstd NUMERIC
@ATTRIBUTE xrms NUMERIC
@ATTRIBUTE ymean NUMERIC
@ATTRIBUTE ystd NUMERIC
@ATTRIBUTE yrms NUMERIC
@ATTRIBUTE zmean NUMERIC
@ATTRIBUTE zstd NUMERIC
@ATTRIBUTE zrms NUMERIC
@ATTRIBUTE class {sitting,standing,walking,running,driving}

@DATA
 9.8205,  0.0817,  9.8208,  0.7223,  0.1381,  0.7354,  9.4485,  0.1128,  9.4491,  2.5559,  0.2993,  2.5733, sitting
 9.8220,  0.0746,  9.8223,  0.8051,  0.1496,  0.8188,  9.5270,  0.0797,  9.5273,  2.2366,  0.1888,  2.2445, sitting
 9.8215,  0.0625,  9.8217,  0.8219,  0.1277,  0.8317,  9.5619,  0.0640,  9.5621,  2.0786,  0.1397,  2.0833, sitting
 9.8216,  0.0682,  9.8218,  0.8650,  0.1178,  0.8730,  9.5532,  0.0718,  9.5535,  2.1031,  0.1191,  2.1065, sitting
 9.8194,  0.0636,  9.8196,  0.9164,  0.0897,  0.9208,  9.5122,  0.0736,  9.5125,  2.2508,  0.1527,  2.2560, sitting
 9.8164,  0.0568,  9.8166,  0.9193,  0.1058,  0.9253,  9.5177,  0.0677,  9.5180,  2.2108,  0.1733,  2.2175, sitting
 9.8174,  0.0554,  9.8175,  0.8169,  0.1733,  0.8351,  9.5144,  0.0661,  9.5146,  2.2624,  0.2009,  2.2713, sitting
 9.8175,  0.0689,  9.8177,  0.7847,  0.1596,  0.8008,  9.4699,  0.0676,  9.4702,  2.4609,  0.0827,  2.4623, sitting
 9.8153,  0.0667,  9.8156,  0.7735,  0.1663,  0.7911,  9.4527,  0.0638,  9.4529,  2.5206,  0.0897,  2.5222, sitting
 9.8138,  0.0486,  9.8139,  0.6399,  0.1024,  0.6480,  9.4424,  0.0520,  9.4426,  2.5938,  0.0556,  2.5944, sitting
 9.8132,  0.0543,  9.8133,  0.6361,  0.1202,  0.6474,  9.4673,  0.0653,  9.4676,  2.4927,  0.1832,  2.4994, sitting
 9.8136,  0.0535,  9.8138,  0.6788,  0.1220,  0.6896,  9.4726,  0.0628,  9.4729,  2.4643,  0.1634,  2.4697, sitting
 9.8138,  0.0493,  9.8139,  0.8611,  0.1907,  0.8819,  9.4702,  0.0649,  9.4704,  2.4087,  0.2117,  2.4179, sitting
 9.8138,  0.0538,  9.8140,  0.9912,  0.1313,  0.9998,  9.4808,  0.0689,  9.4810,  2.3222,  0.1790,  2.3290, sitting
 9.8138,  0.0604,  9.8140,  0.9762,  0.1235,  0.9839,  9.4799,  0.0694,  9.4802,  2.3368,  0.1087,  2.3393, sitting
 9.8121,  0.0625,  9.8123,  0.9802,  0.1256,  0.9882,  9.4764,  0.0676,  9.4767,  2.3431,  0.0866,  2.3447, sitting
 9.8121,  0.0666,  9.8123,  0.9158,  0.1446,  0.9271,  9.4864,  0.0749,  9.4867,  2.3263,  0.1116,  2.3289, sitting
 9.8121,  0.0805,  9.8125,  0.8322,  0.1325,  0.8426,  9.5240,  0.0823,  9.5244,  2.2020,  0.1080,  2.2047, sitting
 9.8105,  0.0857,  9.8109,  0.9819,  0.2251,  1.0074,  9.5222,  0.0816,  9.5226,  2.1312,  0.1307,  2.1352, sitting
 9.8099,  0.0765,  9.8101,  1.1117,  0.1451,  1.1211,  9.5050,  0.0736,  9.5053,  2.1470,  0.1510,  2.1523, sitting
 9.8099,  0.0625,  9.8101,  1.0377,  0.1159,  1.0442,  9.5147,  0.0735,  9.5149,  2.1387,  0.1993,  2.1479, sitting
 9.8083,  0.0582,  9.8084,  1.0035,  0.0762,  1.0064,  9.4773,  0.0853,  9.4777,  2.3003,  0.2744,  2.3166, sitting
 9.8059,  0.0608,  9.8061,  0.9696,  0.0721,  0.9723,  9.4502,  0.0670,  9.4505,  2.4267,  0.1192,  2.4296, sitting
 9.8075,  0.0642,  9.8077,  0.9434,  0.0936,  0.9480,  9.4638,  0.0917,  9.4643,  2.3763,  0.2715,  2.3917, sitting
 9.8080,  0.1584,  9.8092,  0.9152,  0.1517,  0.9276,  9.4859,  0.1901,  9.4878,  2.2472,  0.5410,  2.3113, sitting
 9.8085,  0.1683,  9.8099,  0.9061,  0.1937,  0.9265,  9.4980,  0.1860,  9.4998,  2.2066,  0.5115,  2.2650, sitting
 9.8044,  0.0883,  9.8048,  0.9189,  0.1799,  0.9363,  9.4411,  0.0958,  9.4416,  2.4533,  0.3088,  2.4726, sitting
 9.7989,  0.0699,  9.7991,  0.9058,  0.1409,  0.9167,  9.4335,  0.0894,  9.4339,  2.4660,  0.3204,  2.4867, sitting
 9.8011,  0.0656,  9.8013,  0.9384,  0.1283,  0.9471,  9.4742,  0.0818,  9.4746,  2.3104,  0.2512,  2.3240, sitting
 9.8005,  0.0615,  9.8007,  0.9227,  0.1187,  0.9303,  9.4872,  0.0632,  9.4874,  2.2739,  0.0707,  2.2750, sitting
 9.7999,  0.0572,  9.8001,  0.9613,  0.1343,  0.9706,  9.4904,  0.0594,  9.4906,  2.2403,  0.1011,  2.2426, sitting
 9.8018,  0.0511,  9.8020,  1.0296,  0.0847,  1.0331,  9.5136,  0.0587,  9.5138,  2.1171,  0.1328,  2.1212, sitting
 9.8017,  0.0599,  9.8019,  0.8791,  0.2236,  0.9071,  9.5220,  0.0637,  9.5222,  2.1288,  0.2241,  2.1406, sitting
 9.8001,  0.0588,  9.8003,  0.7104,  0.2115,  0.7412,  9.5019,  0.0623,  9.5021,  2.2730,  0.2016,  2.2819, sitting
 9.7988,  0.0594,  9.7989,  0.6720,  0.1272,  0.6839,  9.5090,  0.0629,  9.5092,  2.2602,  0.1364,  2.2643, sitting
 9.7987,  0.0644,  9.7989,  0.7590,  0.1618,  0.7760,  9.4634,  0.0858,  9.4638,  2.4070,  0.2419,  2.4191, sitting
 9.7965,  0.0600,  9.7967,  0.8730,  0.1539,  0.8865,  9.4104,  0.0602,  9.4106,  2.5734,  0.0844,  2.5748, sitting
 9.7949,  0.0593,  9.7950,  0.8595,  0.1426,  0.8712,  9.4409,  0.0710,  9.4411,  2.4553,  0.1418,  2.4594, sitting
 9.7972,  0.0616,  9.7974,  0.8279,  0.1251,  0.8372,  9.5044,  0.0762,  9.5047,  2.2147,  0.2082,  2.2244, sitting
 9.7978,  0.0582,  9.7979,  0.7945,  0.1052,  0.8014,  9.5328,  0.0586,  9.5330,  2.1138,  0.1060,  2.1164, sitting
